NAME,LONGITUDE,LATITUDE,LINE,
Astor Pl,-73.991,40.73005,4-6-6 Express,
Canal St,-74.0001,40.7188,4-6-6 Express,
50th St,-73.9838,40.76172,2-1,
Bergen St,-73.9749,40.68086,2-3-4,
Pennsylvania Ave,-73.8948,40.66471,3-4,
238th St,-73.9008,40.88466,1,
Cathedral Pkwy (110th St),-73.958,40.80058,A-B-C,
Kingston - Throop Aves,-73.9408,40.67991,A-C,
65th St,-73.8987,0.749719,E-M-R,
36th St,-73.929,40.75196,E-M-R,
Delancey St - Essex St,-73.9874,40.7183,J-M-Z,
Van Siclen Ave,-73.8916,40.67802,J-Z,
Norwood Ave,-73.8796,40.68152,J-Z,
104th-102nd Sts,-73.8444,40.69516,J-Z,
DeKalb Ave,-73.9817,40.69064,B-D-N-Q-R,
Beach 105th St,-73.8275,40.58326,A-S,
Beach 90th St,-73.8136,40.58809,A-S,
Freeman St,-73.8917,40.82998,5-2,
Intervale Ave,-73.8966,40.82214,5-2,
182nd-183rd Sts,-73.9007,40.85609,B-D,
174th-175th Sts,-73.9101,40.84589,B-D,
167th St,-73.9184,40.83376,B-D,
Mets - Willets Point,-73.8456,0.754621,7-7 Express,
Junction Blvd,-73.8695,40.74914,7-7 Express,
Flushing - Main St,-73.83,40.75959,7-7 Express,
Buhre Ave,-73.8325,40.8468,6-6 Express,
3rd Ave - 138th St,-73.9261,40.81047,6-6 Express,
Castle Hill Ave,-73.8512,40.83425,6-6 Express,
Brooklyn Bridge - City Hall,-74.0041,0.713064,4-5-6-6 Express,
Zerega Ave,-73.847,0.836488,6-6 Express,
Grand Central - 42nd St,-73.9767,0.751807,4-5-6-6 Express,
33rd St,-73.982,40.74608,4-6-6 Express,
96th St,-73.951,0.785671,4-6-6 Express,
77th St,-73.9598,40.77362,4-6-6 Express,
Chauncey St,-73.9103,40.68285,J-Z,
Union St,-73.9831,40.67731,D-N-R,
Elmhurst Ave,-73.882,0.74237,E-M-R,
Ralph Ave,-73.9207,40.67882,A-C,
Pelham Pkwy,-73.8674,40.85719,5-2,
Gun Hill Rd,-73.8661,40.87783,5-2,
Nereid Ave (238 St),-73.8543,0.898286,5-2,
Franklin Ave,-73.958,0.670765,2-3-4-5,
Simpson St,-73.893,40.82397,5-2,
Bronx Park East,-73.8683,40.84876,5-2,
Winthrop St,-73.95,40.65665,5-2,
Van Siclen Ave,-73.8894,40.66551,4-3,
149th St - Grand Concourse,-73.9273,0.818303,4,
161st St - Yankee Stadium,-73.9256,40.82823,4,
Lexington Ave - 59th St,-73.9679,0.762526,4-5-6-6 Express,
E 149th St,-73.904,40.81211,6,
Morrison Av - Soundview,-73.8745,40.82952,6,
Whitlock Ave,-73.8862,0.826525,6,
St Lawrence Ave,-73.8676,40.8315,6,
Woodside - 61st St,-73.9029,40.74563,7-7 Express,
Far Rockaway - Mott Ave,-73.7554,40.60399,A,
72nd St,-73.9763,0.7755193,A-B-C,
96th St,-73.9646,40.79161,A-B-C,
168th St,-73.9395,40.84071,A-C,
Kingsbridge Rd,-73.8935,0.866977,B-D,
42nd St - Bryant Pk,-73.9845,40.75418,B-D-F-M,
Prospect Park,-73.962,40.66163,B-Q-S,
55th St,-73.9953,40.63147,D,
Jamaica - Van Wyck,-73.817,40.70289,E,
Kew Gardens - Union Tpke,-73.8303,0.714034,E-F,
Sutphin Blvd - Archer Av,-73.808,40.70038,E-J-Z,
Court Sq - 23rd St,-73.946,40.74776,E-M,
67th Ave,-73.8528,40.7265,E-M-R,
Grand Ave - Newtown,-73.8772,40.73681,E-M-R,
Ditmas Ave,-73.9781,40.63611,F,
Classon Ave,-73.9599,40.68888,G,
Broadway,-73.9503,40.70612,G,
Lorimer St,-73.9502,40.71407,L,
Sutter Ave,-73.9019,0.669145,L,
